name,jurusan
Universitas Nahdlatul Ulama Surabaya (UNUSA),"Kedokteran, Akuntansi, Gizi, Kesehatan Masyarakat, Manajemen, Pendidikan bahasa, PGSD (Pendidikan Guru Sekolah Dasar), Sistem informasi, Kesehatan dan Keselamatan Kerja"
Universitas Ahmad Dahlan (UAD) Yogyakarta,"Akuntansi, Sastra, BK (Bimbingan Konseling), Biologi, Ekonomi pembangunan, Farmasi, Gizi, Hukum, Ilmu komunikasi, Kedokteran, Kesehatan Masyarakat, Manajemen, PAI (Pendidikan Agama Islam), Pendidikan bahasa, Pendidikan biologi, PGSD (Pendidikan Guru Sekolah Dasar), Psikologi, Sistem informasi, Teknik industri"
Universitas Islam Sultan Agung Semarang,"Kedokteran, Farmasi, Teknik sipil, Perencanaan wilayah kota, Hukum, Pendidikan bahasa, Sastra, Manajemen, Akuntansi, PGSD (Pendidikan Guru Sekolah Dasar), Teknik industri, Ilmu komunikasi, Psikologi"
Universitas Mercu Buana,"Manajemen, Desain produk, Desain interior, DKV (Desain Komunikasi Visual), Arsitektur, Teknik industri, Teknik mesin, Teknik sipil, Akuntansi, Broadcasting, Sistem informasi, Psikologi"
Universitas Surabaya (UBAYA),"Kedokteran, Farmasi, Hukum, Akuntansi, Psikologi, Sains data, Manajemen Informatika, Sistem informasi, Teknik industri, Teknik mesin, Biologi, Desain produk, DKV (Desain Komunikasi Visual), Bisnis digital, Pariwisata"
Politeknik Elektronika Negeri Surabaya (PENS),"Teknologi Game, Sains data"
Politeknik Negeri Jember,"Pariwisata, Peternakan, Teknologi pertanian, Agribisnis"
Politeknik Negeri Malang (POLINEMA),"Teknik mesin, Teknik sipil"
Politeknik Negeri Bandung,"Teknik sipil, Teknik mesin, Akuntansi"
Politeknik Negeri Jakarta,"Teknik mesin, Akuntansi, Perencanaan keuangan, Desain grafis, Teknik industri"
Politeknik Kesehatan (POLTEKKES) Surakarta,Fisioterapi
Politeknik Kesehatan (POLTEKKES) Surabaya,Gizi
Politeknik Kesehatan (POLTEKKES) Malang,"Gizi, Kesehatan dan Keselamatan Kerja"
Politeknik Media Kreatif Negeri Jakarta,"Fotografi, Teknologi Game, Televisi dan Film, Film dan Animasi, Broadcasting, Desain grafis, Tata boga, Tata busana"
Institut Kesenian Jakarta,"Etnomusikologi, Seni pertunjukan, Desain grafis, DKV (Desain Komunikasi Visual), Teater/Drama, Pendidikan Sendratasik, Televisi dan Film, Seni musik, Tari, Seni rupa murni, Seni Kriya, Desain interior, Desain produk"
Institut Seni Budaya Indonesia (ISBI) Bandung,"Seni pertunjukan, Antropologi, Teater/Drama, Seni Kriya, Tari, Tata rias, Tata busana, Televisi dan Film, Desain interior, DKV (Desain Komunikasi Visual), Seni rupa murni"
Insititut Seni Indonesia (ISI) Surakarta,"Tari, Etnomusikologi, Teater/Drama, Manajemen Seni, Seni Kriya, Seni rupa murni, Desain interior, DKV (Desain Komunikasi Visual), Televisi dan Film, Fotografi, Film dan Animasi, Desain produk, Pariwisata"
Institut Seni Indonesia (ISI) Yogyakarta,"Etnomusikologi, Seni pertunjukan, DKV (Desain Komunikasi Visual), Teater/Drama, Pendidikan Sendratasik, Tari, Seni musik, Penciptaan musik, Seni rupa murni, Seni Kriya, Desain interior, Desain produk, Manajemen Seni, Fotografi, Televisi dan Film, Film dan Animasi"
